selection_rank,name,source,session,duration_seconds,text_characters,annotation_pattern,expression,action,joint_speed_mean,joint_speed_p90,body_rotation_speed,body_rotation_p90,hand_rotation_speed,hand_rotation_p90,joint_positions_available,complexity_score,duration_bin,text_length_bin,complexity_bin
69,fbx_to_json_data_susu_retarget_maya/20250930/Human_0916_134_0_14_04,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250930,3.35,15,action-only,<unannotated>,身体如柳絮般飘向屏幕一侧，手臂舒展，侧头看向你，眼神里带着一丝探寻。,0.4211736023426056,1.0830554962158203,0.012491455301642418,0.03304634615778923,0.004752430599182844,0.010412978008389473,True,0.24915869176569566,q1of5,q1of5,q1of5
70,fbx_to_json_data_susu_retarget_maya/20251105/Human_0916_167_1_7_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251105,4.6,57,no-tags,<unannotated>,<unannotated>,1.3710414171218872,2.043001174926758,0.022159162908792496,0.047701396048069,0.014574863947927952,0.019159099087119102,True,0.5147360395414871,q2of5,q5of5,q3of5
71,fbx_to_json_data_susu_retarget_maya/20250909/Human_0908_133-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250909,5.9,21,expression+action,撇嘴,故意转过头去，做出嫌弃的样子,0.014850495383143425,0.030812768265604973,0.014850495383143425,0.030812768265604973,0.029744012281298637,0.08592455089092255,False,0.6605847092228415,q3of5,q4of5,q4of5
72,fbx_to_json_data_susu_retarget_maya/20250918/Human_0916_9_2_14_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250918,8.25,23,action-only,<unannotated>,突然松开双臂，身体蜷缩后猛地向斜上方伸展，像一颗划过天际的流星。,1.5295804738998413,4.234012126922607,0.024465642869472504,0.06123758479952812,0.020384730771183968,0.060572847723960876,True,0.7247476075297087,q5of5,q5of5,q5of5
73,fbx_to_json_data_susu_retarget_maya/20250829/Human_0826_281-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250829,7.0,19,expression-only,调侃,<unannotated>,0.012586107477545738,0.02664470672607422,0.012586107477545738,0.02664470672607422,0.022985408082604408,0.068147212266922,False,0.502458197497108,q4of5,q3of5,q3of5
74,fbx_to_json_data_susu_retarget_maya/20250922/Human_0916_34_4_6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250922,3.95,17,action-only,<unannotated>,两只手臂交替着上下摆动，像一个坏掉的信号灯，故意让人摸不着头脑。,2.5426652431488037,8.161542892456055,0.014042765833437443,0.0351182296872139,0.003942378796637058,0.013660899363458157,True,0.29228888421495425,q1of5,q2of5,q2of5
75,fbx_to_json_data_susu_retarget_maya/20250805/Human_susu_250804_69-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250805,5.4,14,expression+action,得逞,眼神追随,0.0007397609879262745,0.0027762081008404493,0.0007397609879262745,0.0027762081008404493,0.0013321440201252699,0.0027244887314736843,False,0.00960931748869492,q2of5,q1of5,q1of5
76,fbx_to_json_data_susu_retarget_maya/20250820/Human_0819_35-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250820,6.5,13,expression-only,挑眉,<unannotated>,0.011056176386773586,0.023848742246627808,0.011056176386773586,0.023848742246627808,0.013045295141637325,0.03254301846027374,False,0.26076611631086344,q3of5,q1of5,q1of5
77,fbx_to_json_data_susu_retarget_maya/20251024/Human_0916_106_1_2_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251024,5.6,16,action-only,<unannotated>,身体微微侧转，一只手臂轻柔地抬起，向一侧缓缓挥动，像在为羊群开路。,2.3426146507263184,4.8870158195495605,0.029725264757871628,0.08453497290611267,0.014461293816566467,0.04058625176548958,True,0.6431669996845094,q2of5,q2of5,q4of5
78,fbx_to_json_data_susu_retarget_maya/20250902/Human_0829_197-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250902,7.75,22,expression+action,歪头,身体微微后倾,0.010490167886018753,0.02542383037507534,0.010490167886018753,0.02542383037507534,0.015456609427928925,0.04559052363038063,False,0.31839573036071095,q4of5,q4of5,q2of5
79,fbx_to_json_data_susu_retarget_maya/20251125/Human_1119_96_0_6_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251125,8.1,27,action-only,<unannotated>,缩起脖子，双手握拳凑近嘴边，做出想要哈气暖手的动作，眼神带着一丝委屈,1.183763027191162,3.268878936767578,0.01804039441049099,0.047948893159627914,0.015131658874452114,0.038400132209062576,True,0.5339283836365548,q5of5,q5of5,q3of5
80,fbx_to_json_data_susu_retarget_maya/20251016/Human_0916_263_0_11_03,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251016,4.25,18,action-only,<unannotated>,双手向上举过头顶再猛地向下一拉，整个上半身缩起来，假装被“衣领”完全盖住。,2.154411792755127,4.921548843383789,0.03459685295820236,0.08540943264961243,0.028232833370566368,0.08413020521402359,True,0.8912609107161636,q1of5,q3of5,q5of5
81,fbx_to_json_data_susu_retarget_maya/20250915/Human_0912_172-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250915,7.35,22,expression-only,认真注视,<unannotated>,0.018504953011870384,0.0416460782289505,0.018504953011870384,0.0416460782289505,0.02276643179357052,0.06043146550655365,False,0.6549716058470922,q4of5,q4of5,q4of5
82,fbx_to_json_data_susu_retarget_maya/20250903/Human_0901_194-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250903,8.15,16,expression+action,认真,眨眨眼，露出思索的表情,0.013519241474568844,0.03109951876103878,0.013519241474568844,0.03109951876103878,0.023320257663726807,0.07125165313482285,False,0.5600878115469555,q5of5,q2of5,q3of5
83,fbx_to_json_data_susu_retarget_maya/20250924/Human_0916_60_1_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250924,6.5,52,no-tags,<unannotated>,<unannotated>,0.7406782507896423,1.363543152809143,0.011368170380592346,0.025773318484425545,0.004404695704579353,0.011127335019409657,True,0.18068408875801872,q3of5,q5of5,q1of5
84,fbx_to_json_data_susu_retarget_maya/20250806/Human_susu_250804_130-9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250806,3.0,11,expression+action,脸红,缓慢后仰,0.017734909430146217,0.04446454718708992,0.017734909430146217,0.04446454718708992,0.043286364525556564,0.13169625401496887,False,0.840769271216742,q1of5,q1of5,q5of5
85,fbx_to_json_data_susu_retarget_maya/20250828/Human_0826_156-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250828,4.95,18,expression-only,娇嗔,<unannotated>,0.0141001520678401,0.03182574361562729,0.0141001520678401,0.03182574361562729,0.012223321944475174,0.037290606647729874,False,0.37364601956041643,q2of5,q3of5,q2of5
86,fbx_to_json_data_susu_chonglu/20260115/Human_201_59_02_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,4.2,12,expression+action,抿嘴,身体回正,0.17966973781585693,0.4199456572532654,0.003885118057951331,0.008439813740551472,0.002498907968401909,0.0068978602066636086,True,0.03801661583762751,q1of5,q1of5,q1of5
87,fbx_to_json_data_susu_retarget_maya/20251030/Human_1021_64_1_1_02_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251030,7.4,19,action-only,<unannotated>,曲起双腿蹲在屏幕一角，然后像花朵绽放一样，慢慢地将四肢向外舒展开来。,1.2729661464691162,3.578228712081909,0.01998707465827465,0.055135201662778854,0.014301856979727745,0.03798998147249222,True,0.5625460090440636,q4of5,q3of5,q3of5
88,fbx_to_json_data_susu_retarget_maya/20250821/Human_0819_182-9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250821,6.4,17,expression-only,若即若离,<unannotated>,0.009837248362600803,0.023069504648447037,0.009837248362600803,0.023069504648447037,0.021638432517647743,0.056227076798677444,False,0.3883031864549374,q3of5,q2of5,q2of5
89,fbx_to_json_data_susu_retarget_maya/20251027/Human_0916_116_4_5_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251027,5.05,22,action-only,<unannotated>,身体猛地向后一缩，双手捂住嘴，但眼睛却弯成了月牙，带着憋不住的笑意。,1.2704458236694336,3.231231451034546,0.024978384375572205,0.054808251559734344,0.03818321228027344,0.12140679359436035,True,0.9125039436323482,q2of5,q4of5,q5of5
90,fbx_to_json_data_susu_retarget_maya/20250826/Human_0825_333-9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250826,11.85,26,expression-only,敏感,<unannotated>,0.012165351770818233,0.028304316103458405,0.012165351770818233,0.028304316103458405,0.03170754387974739,0.09137947112321854,False,0.6145099379535177,q5of5,q5of5,q4of5
91,fbx_to_json_data_susu_retarget_maya/20250905/Human_0905_13-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250905,6.8,22,expression+action,俏皮中带着一丝试探,小心翼翼地向前探身一点,0.008711449801921844,0.0177162978798151,0.008711449801921844,0.0177162978798151,0.015908652916550636,0.047845371067523956,False,0.26732569145020507,q4of5,q4of5,q1of5
92,fbx_to_json_data_susu_retarget_maya/20251021/Human_0916_312_3_5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251021,4.3,14,action-only,<unannotated>,一只手臂环抱在胸前，另一只手臂抬起，用手背轻轻碰了碰自己的额头，故作苦恼。,1.0585426092147827,2.727726697921753,0.01354994997382164,0.029523110017180443,0.019750649109482765,0.05315747112035751,True,0.46409980018929436,q1of5,q1of5,q3of5
93,fbx_to_json_data_susu_retarget_maya/20250825/Human_0825_59-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250825,6.4,18,expression+action,嘟嘴,扭动身体,0.015864701941609383,0.037223368883132935,0.015864701941609383,0.037223368883132935,0.025491837412118912,0.0698377937078476,False,0.6501603743821642,q3of5,q3of5,q4of5
94,fbx_to_json_data_susu_retarget_maya/20250815/Human_0814_67-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250815,4.6,17,action-only,<unannotated>,侧头歪脖,0.008878814056515694,0.017035048454999924,0.008878814056515694,0.017035048454999924,0.019588466733694077,0.05572957545518875,False,0.32712430329161846,q2of5,q2of5,q2of5
95,fbx_to_json_data_susu_retarget_maya/20250929/Human_0916_128_1_6_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250929,8.4,58,no-tags,<unannotated>,<unannotated>,0.021274210885167122,0.054090481251478195,0.021274210885167122,0.054090481251478195,0.025379318743944168,0.0757492184638977,False,0.7803265327584393,q5of5,q5of5,q5of5
96,fbx_to_json_data_susu_retarget_maya/20250804/Human_795-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250804,8.5,25,expression-only,坏笑,<unannotated>,0.013456922955811024,0.03310729190707207,0.013456922955811024,0.03310729190707207,0.021508626639842987,0.06197021156549454,False,0.5298532968766432,q5of5,q5of5,q3of5
97,fbx_to_json_data_susu_chonglu/20260119/Human_341_39_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,3.15,4,expression+action,温柔注视,缓慢点头,0.19048087298870087,0.447393000125885,0.004265685100108385,0.007710686419159174,0.0037469349335879087,0.00812690332531929,True,0.04552266274056157,q1of5,q1of5,q1of5
98,fbx_to_json_data_susu_retarget_maya/20250801/Human_623-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250801,7.2,20,action-only,<unannotated>,手指比枪,0.011684187687933445,0.027385013177990913,0.011684187687933445,0.027385013177990913,0.019895264878869057,0.061628397554159164,False,0.4429356399200757,q4of5,q4of5,q2of5
99,fbx_to_json_data_susu_retarget_maya/20250822/Human_0819_208-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250822,5.6,16,action-only,<unannotated>,抬头仰望,0.01484619453549385,0.03341261297464371,0.01484619453549385,0.03341261297464371,0.038384467363357544,0.11746051907539368,False,0.7363813229571984,q2of5,q2of5,q5of5
100,fbx_to_json_data_susu_retarget_maya/20251126/Human_1119_109_1_1_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251126,6.0,24,action-only,<unannotated>,微微低头，双手伸到脑后做出解发绳动作，随即轻甩头部让头发散开,1.7408627271652222,5.446252346038818,0.021715113893151283,0.05643102899193764,0.017429277300834656,0.05040799826383591,True,0.6422599642444001,q3of5,q5of5,q4of5
101,fbx_to_json_data_susu_retarget_maya/20251015/Human_0916_254_0_1_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251015,5.35,18,no-tags,<unannotated>,<unannotated>,0.955562949180603,2.1488685607910156,0.014986487105488777,0.03568470850586891,0.0279252789914608,0.08205191045999527,True,0.6752155852350404,q2of5,q3of5,q4of5
102,fbx_to_json_data_susu_chonglu/20260116/Human_232_78_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,7.9,14,expression+action,欲言又止,视线短暂飘忽,0.22146539390087128,0.5424284338951111,0.004693800583481789,0.010822974145412445,0.013353947550058365,0.032314371317625046,True,0.15921758334209696,q5of5,q1of5,q1of5
103,fbx_to_json_data_susu_retarget_maya/20250813/Human_0811_180-10_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250813,7.35,21,expression-only,坦然,<unannotated>,0.011751155368983746,0.026142459362745285,0.011751155368983746,0.026142459362745285,0.021817881613969803,0.06354718655347824,False,0.46077400357556,q4of5,q4of5,q3of5
104,fbx_to_json_data_susu_retarget_maya/20251107/Human_1021_254_3_7_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251107,4.0,17,action-only,<unannotated>,随即又迅速用手臂挡在脸前，从手臂上方露出一双亮晶晶的眼睛偷偷看你。,1.7740304470062256,6.003936767578125,0.02135232649743557,0.04736609011888504,0.034202899783849716,0.09681243449449539,True,0.8477626459143969,q1of5,q2of5,q5of5
105,fbx_to_json_data_susu_retarget_maya/20251029/Human_1021_56_1_9_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251029,6.35,19,action-only,<unannotated>,微微扬起头，闭上眼睛，身体随着音乐的节奏轻轻起伏，完全沉醉其中。,0.8145910501480103,1.813997507095337,0.013333968818187714,0.033444032073020935,0.015368219465017319,0.04165731742978096,True,0.40875749290146174,q3of5,q3of5,q2of5
106,fbx_to_json_data_susu_retarget_maya/20251031/Human_1021_89_0_7_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251031,4.1,36,expression+action,闭眼装死,上半身像失去骨头一样瘫软，顺势向后仰倒，双臂无力地摊开在身体两侧,1.819023847579956,4.542630672454834,0.032874539494514465,0.09196183830499649,0.027955420315265656,0.07944139093160629,True,0.8805210852876223,q1of5,q5of5,q5of5
107,fbx_to_json_data_susu_retarget_maya/20251104/Human_0916_153_1_3_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251104,4.7,19,action-only,<unannotated>,身体夸张地向后仰，双臂在空中划出大大的圆圈，仿佛要飞起来,1.461403250694275,3.977790117263794,0.015695469453930855,0.03854314610362053,0.02064392901957035,0.06398557126522064,True,0.5953701756230939,q2of5,q3of5,q4of5
108,fbx_to_json_data_susu_retarget_maya/20250916/Human_0912_234-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,6.4,16,expression-only,嘴角勾起一个浅浅的弧度，带着几分认真几分俏皮,<unannotated>,0.017246581614017487,0.038898732513189316,0.017246581614017487,0.038898732513189316,0.017585596069693565,0.04992172122001648,False,0.5448916815648333,q3of5,q2of5,q3of5
109,fbx_to_json_data_susu_retarget_maya/20251022/Human_1021_16_4_8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251022,7.95,20,action-only,<unannotated>,身体突然像断了线的木偶一样左右晃动几下，然后猛地站直，做出一个有些搞怪的敬礼姿势。,1.4476572275161743,3.6910805702209473,0.016632800921797752,0.038727521896362305,0.0032187437172979116,0.007589989807456732,True,0.3378378378378378,q5of5,q4of5,q2of5
110,fbx_to_json_data_susu_retarget_maya/20250904/Human_0904_88-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250904,7.4,13,expression+action,眼中闪着疑惑和兴趣的光芒,托着下巴认真思考的样子,0.01063329353928566,0.02357812039554119,0.01063329353928566,0.02357812039554119,0.013688730075955391,0.035870157182216644,False,0.26668156483331584,q4of5,q1of5,q1of5
111,fbx_to_json_data_susu_retarget_maya/20250819/Human_0814_262-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250819,6.65,20,expression-only,闪躲,<unannotated>,0.017582925036549568,0.04159726947546005,0.017582925036549568,0.04159726947546005,0.028714369982481003,0.09135781228542328,False,0.7616600063098118,q4of5,q4of5,q5of5
112,fbx_to_json_data_susu_retarget_maya/20251110/Human_1021_263_3_18_02_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251110,5.65,26,no-tags,<unannotated>,<unannotated>,1.1083639860153198,3.3308987617492676,0.016765447333455086,0.04137391969561577,0.018201639875769615,0.052125636488199234,True,0.5642286255126723,q3of5,q5of5,q3of5
113,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_56-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,5.1,15,expression+action,眼神闪烁,嘴角轻扬,0.01744423434138298,0.03456330671906471,0.01744423434138298,0.03456330671906471,0.02544197253882885,0.07623632252216339,False,0.6705752445052056,q2of5,q1of5,q4of5
114,fbx_to_json_data_susu_retarget_maya/20251113/Human_1021_314_0_7_03_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251113,4.25,18,action-only,<unannotated>,单手叉腰，另一只手臂在空中划出一道柔和的弧线。,1.495159387588501,5.344449043273926,0.017833909019827843,0.03820517659187317,0.012369740754365921,0.02940630540251732,True,0.4440530024187612,q1of5,q3of5,q2of5
